Timestamp,Latitude,Longitude,Taxonomy,Collector,Pet Factor,Pet Factor #,Name
11/1/2023 13:49:24,36.555995,-87.3053646,Millipede,Jason Edelkind,Won’t Appreciate You,3,Harold
11/1/2023 13:54:43,36.5558859,-87.3054807,Salamander,Jason Edelkind,I guess,4,Jeff
11/1/2023 13:55:24,36.5558859,-87.3054807,Beetle,Jason Edelkind,"Could, But Why?",2,Randy
11/1/2023 13:57:01,36.5558156,-87.3053395,Deer,Jason Edelkind,Yes Please,5,Larraby
11/1/2023 13:59:06,36.5560128,-87.3051243,Tree branch,Jason Edelkind,God No,1,Dick that slapped my face
11/1/2023 14:04:30,36.556246,-87.3043421,Snake,Jason Edelkind,I guess,4,Sammy
11/1/2023 14:09:35,36.5563928,-87.3044376,Earthworm,Jason Edelkind,God No,1,Earl
11/1/2023 14:11:10,36.5563545,-87.3042981,Bird,Jason Edelkind,Yes Please,5,Gigan
11/1/2023 14:13:05,36.5564038,-87.3043508,Salamander,Jason Edelkind,Won’t Appreciate You,3,Jarquad
11/1/2023 14:14:58,36.556399,-87.3044671,Salamander,Jason Edelkind,Won’t Appreciate You,3,Agarn
11/1/2023 14:16:24,36.5564566,-87.3044306,Ant,Jason Edelkind,God No,1,Quincy
11/1/2023 14:16:52,36.5564566,-87.3044306,Earthworm,Jason Edelkind,"Could, But Why?",2,Kirk
11/1/2023 14:18:31,36.5566559,-87.3043233,Millipede,Jason Edelkind,Yes Please,5,John
11/1/2023 14:21:28,36.5564133,-87.3042556,Squirrel,Jason Edelkind,Yes Please,5,Stitch
11/1/2023 14:23:05,36.556539,-87.3042545,Millipede,Jason Edelkind,Yes Please,5,Shelby
11/1/2023 14:23:51,36.556539,-87.3042545,Millipede,Jason Edelkind,"Could, But Why?",2,Harry Potter
11/1/2023 14:26:22,36.5568837,-87.3043263,Centipede,Jason Edelkind,God No,1,Xavier
11/1/2023 14:29:39,36.5574173,-87.3038344,Ants,Jason Edelkind,"Could, But Why?",2,Jerry 1-746
11/1/2023 14:35:14,36.5567095,-87.3025731,Centipede,Jason Edelkind,God No,1,Xerxes
11/1/2023 14:37:06,36.5565406,-87.3024856,Salamander,Jason Edelkind,Yes Please,5,Stewey
11/1/2023 14:38:54,36.5565326,-87.3022439,Salamander,Jason Edelkind,I guess,4,Zoolander
11/1/2023 14:39:45,36.5565326,-87.3022439,Centipede,Jason Edelkind,God No,1,Willy Wonka
11/1/2023 14:42:28,36.556204,-87.3027109,Beetle,Jason Edelkind,Won’t Appreciate You,3,Brother Benny
11/1/2023 14:45:05,36.5561803,-87.3030154,Ants,Jason Edelkind,I guess,4,Kevin 1-32
11/1/2023 14:50:32,36.5561846,-87.3032011,Salamander,Jason Edelkind,Won’t Appreciate You,3,Tyrannus
11/1/2023 14:51:19,36.5561431,-87.3032591,Salamander,Jason Edelkind,Yes Please,5,Little Jeff
11/1/2023 14:52:22,36.5561711,-87.303186,Millipede,Jason Edelkind,Yes Please,5,Big Fat Paulie
11/1/2023 14:53:15,36.5560516,-87.3031662,Millipede,Jason Edelkind,Won’t Appreciate You,3,Petesylvannia
11/1/2023 14:55:56,36.5559912,-87.3033674,Salamander,Jason Edelkind,Yes Please,5,Dobby
11/1/2023 14:57:03,36.5560812,-87.3036373,Salamander,Jason Edelkind,"Could, But Why?",2,Rodrigo
11/1/2023 15:00:57,36.5561628,-87.3034858,Salamander,Jason Edelkind,Won’t Appreciate You,3,Perry
11/1/2023 15:01:52,36.5561674,-87.3034425,Salamander,Jason Edelkind,Yes Please,5,Jebediah
11/1/2023 15:02:37,36.5561334,-87.3034848,Salamander,Jason Edelkind,I guess,4,Ephram
11/1/2023 15:03:39,36.5560731,-87.3033299,Salamander,Jason Edelkind,Yes Please,5,Ferb
11/1/2023 15:06:39,36.5557855,-87.3036752,Millipede,Jason Edelkind,Yes Please,5,Obi Wan
11/1/2023 15:12:02,36.5546506,-87.3043749,Beetle,Jason Edelkind,Yes Please,5,Jubba
11/1/2023 15:12:52,36.5545671,-87.3043655,Centipede,Jason Edelkind,God No,1,Theodore
11/1/2023 15:16:45,36.5533909,-87.3031414,Squirrel,Jason Edelkind,Yes Please,5,Sir Fluffington III
11/1/2023 15:18:39,36.5533182,-87.3035951,Beetle,Jason Edelkind,"Could, But Why?",2,Rover
11/1/2023 15:25:36,36.5518019,-87.304333,Isopod,Jason Edelkind,Yes Please,5,Spoof
11/1/2023 15:27:18,36.5516491,-87.30444,Midge,Jason Edelkind,"Could, But Why?",2,Frankfurt
11/1/2023 15:28:58,36.5516206,-87.3044212,Turtle,Jason Edelkind,Won’t Appreciate You,3,Daryl 3-10
11/1/2023 15:30:43,36.5514256,-87.3049053,Bird,Jason Edelkind,God No,1,Gandalf